Marker,Chr,cM
D1M76,1,3.03734907880425
D1M77,1,3.06389892473817
D1M78,1,3.10379975941032
D1M79,1,3.10607347637415
D1M80,1,3.11144682113081
D1M81,1,3.14546888228506
D1M82,1,3.16746601369232
D1M83,1,3.23239437304437
D1M84,1,3.25660738628358
D1M85,1,3.27476971317083
D1M86,1,3.27521910890937
D1M87,1,3.28876732382923
D1M88,1,3.30904306378216
D1M89,1,3.33106756210327
D1M90,1,3.33835340570658
D1M91,1,3.35380272008479
D1M92,1,3.39359831996262
D1M93,1,3.45589740201831
D1M94,1,3.57576444279402
D1M95,1,3.66558885667473
D1M96,1,3.70469500310719
D1M97,1,3.74024927616119
D1M98,1,3.75538762193173
D1M99,1,3.76654569525272
D1M100,1,3.77045002765954
D1M101,1,3.78213171847165
D1M102,1,3.92152113374323
D1M103,1,4.08529120031744
D1M104,1,4.09342034719884
D1M105,1,4.16342227254063
D1M106,1,4.16449138429016
D1M107,1,4.23409097827971
D1M108,1,4.25392981152982
D1M109,1,4.3361319322139
D1M110,1,4.34004984330386
D1M111,1,4.36526784673333
D1M112,1,4.3827922269702
D1M113,1,4.42446315195411
D1M114,1,4.47492426261306
D1M115,1,4.52856542542577
D1M116,1,4.54027142375708
D1M117,1,4.56614254508168
D1M118,1,4.58675389643759
D1M119,1,4.60558002814651
D1M120,1,4.66054473537952
D1M121,1,4.67125777155161
D1M122,1,4.71856200601906
D1M123,1,4.89378925412893
D1M124,1,4.91163252387196
D1M125,1,4.94561548344791
D1M126,1,4.94759067893028
D1M127,1,4.94961821939796
D1M128,1,4.99225084204227
D1M129,1,5.00168203376234
D1M130,1,5.02486725803465
D1M131,1,5.06665050052106
D1M132,1,5.08268193807453
D1M133,1,5.08537378627807
D1M134,1,5.08679527323693
D1M135,1,5.10788925457746
D1M136,1,5.11072791181505
D1M137,1,5.11995584238321
D1M138,1,5.14692377764732
D1M139,1,5.28788978699595
D1M140,1,5.31205405946821
D1M141,1,5.40210189297795
D1M142,1,5.41978431399912
D1M143,1,5.42148127220571
D1M144,1,5.44509766157717
D1M145,1,5.48119164537638
D1M146,1,5.49990005325526
D1M147,1,5.51909197121859
D1M148,1,5.5361827975139
D1M149,1,5.54725206457078
D1M150,1,5.55996460374445
D1M151,1,5.56142179761082
D1M152,1,5.70018630009145
D1M153,1,5.70837671868503
D1M154,1,5.73112495243549
D1M155,1,5.78317665494978
D1M156,1,5.84540465846658
D1M157,1,5.92457894235849
D1M158,1,5.93481685034931
D1M159,1,5.94259437639266
D1M160,1,5.99181408528239
D1M161,1,5.9998132288456
D1M162,1,6.08401678036898
D1M163,1,6.1053972132504
D1M164,1,6.15071619395167
D1M165,1,6.19897701311857
D1M166,1,6.22049675323069
D1M167,1,6.22402402572334
D1M168,1,6.24049040023237
D1M169,1,6.27093607094139
D1M170,1,6.34999803733081
D1M171,1,6.39706213027239
D1M172,1,6.4557241788134
D1M173,1,6.47069258149713
D1M174,1,6.47085887845606
D1M175,1,6.51528036687523
D1M176,1,6.54114423785359
D1M177,1,6.5770410373807
D1M178,1,6.58212063834071
D1M179,1,6.59151796717197
D1M180,1,6.59804055467248
D1M181,1,6.61190292332321
D1M182,1,6.6274145571515
D1M183,1,6.64303419180214
D1M184,1,6.65527512319386
D1M185,1,6.71628163196146
D1M186,1,6.80930072441697
D1M187,1,6.82236727327108
D1M188,1,6.82532453443855
D1M189,1,6.8765105959028
D1M190,1,6.88251392450184
D1M191,1,6.92552478052676
D1M192,1,6.93476042244583
D1M193,1,6.99598532170057
D1M194,1,7.00838144402951
D1M195,1,7.03800996299833
D1M196,1,7.05324918497354
D1M197,1,7.06481281667948
D1M198,1,7.14526370633394
D1M199,1,7.19214205630124
D1M200,1,7.28296936489642
D1M201,1,7.36991828307509
D1M202,1,7.4025688553229
D1M203,1,7.40910313557833
D1M204,1,7.45066761039197
D1M205,1,7.4751172028482
D1M206,1,7.52846705261618
D1M207,1,7.5810613995418
D1M208,1,7.67823695205152
D1M209,1,7.67828141804785
D1M210,1,7.71946053486317
D1M211,1,7.77928662020713
D1M212,1,7.78764920309186
D1M213,1,7.86598236300051
D1M214,1,7.88275945466012
D1M215,1,7.96952229458839
D1M216,1,8.04043151903898
D1M217,1,8.04087169468403
D1M218,1,8.21505761705339
D1M219,1,8.23044897057116
D1M220,1,8.28729868400842
D1M221,1,8.33291618619114
D1M222,1,8.34446032997221
D1M223,1,8.36295965127647
D1M224,1,8.37517937645316
D1M225,1,8.37857002392411
D1M226,1,8.55021593626589
D1M227,1,8.55442348401994
D1M228,1,8.63264369778335
D1M229,1,8.63637486007065
D1M230,1,8.65607895422727
D1M231,1,8.66247007157654
D1M232,1,8.67444672156125
D1M233,1,8.75796211883426
D1M234,1,8.86605836916715
D1M235,1,8.86608653236181
D1M236,1,8.93764510285109
D1M237,1,8.94449081271887
D1M238,1,9.03627759777009
D1M239,1,9.0556240780279
D1M240,1,9.06020822469145
D1M241,1,9.07913871109486
D1M242,1,9.10662800073624
D1M243,1,9.1104774735868
D1M244,1,9.12780785467476
D1M245,1,9.13880964741111
D1M246,1,9.14146566297859
D1M247,1,9.26705381367356
D1M248,1,9.28715814370662
D1M249,1,9.29207760840654
D1M250,1,9.31333197746426
D1M251,1,9.37483213841915
D1M252,1,9.3759451713413
D1M253,1,9.38682240899652
D1M254,1,9.40831608138978
D1M255,1,9.43350994493812
D1M256,1,9.44437968079001
D1M257,1,9.46478450205177
D1M258,1,9.4926391588524
D1M259,1,9.75427729077637
D1M260,1,9.77807317860425
D1M261,1,9.77811114862561
D1M262,1,9.80890332721174
D1M263,1,9.81713783461601
D1M264,1,9.91025357041508
D1M265,1,9.92671240121126
D1M266,1,9.92957155220211
D1M267,1,9.9986368836835
D1M268,1,10.0535734277219
D1M269,1,10.0538748828694
D1M270,1,10.0619141338393
D1M271,1,10.0770788826048
D1M272,1,10.156642254442
D1M273,1,10.167627199553
D1M274,1,10.3270820947364
D1M275,1,10.3474788274616
D1M276,1,10.4164043487981
D1M277,1,10.4175307089463
D1M278,1,10.4277722211555
D1M279,1,10.4965906636789
D1M280,1,10.5520406411961
D1M281,1,10.5792395817116
D1M282,1,10.6367909861729
D1M283,1,10.7515810243785
D1M284,1,10.7820433750749
D1M285,1,11.0030311206356
D1M286,1,11.0896963952109
D1M287,1,11.1545770615339
D1M288,1,11.1546661611646
D1M289,1,11.1985294148326
D1M290,1,11.2301313271746
D1M291,1,11.2374282767996
D1M292,1,11.2478520534933
D1M293,1,11.3015033164993
D1M294,1,11.3291635131463
D1M295,1,11.4844440110028
D1M296,1,11.4947762154043
D1M297,1,11.4962116582319
D1M298,1,11.5961552085355
D1M299,1,11.5976990712807
D1M300,1,11.6023569786921
D1M301,1,11.6820965800434
D1M302,1,11.6909853788093
D1M303,1,11.7700729100034
D1M304,1,11.7804790427908
D1M305,1,11.8040784588084
D1M306,1,11.8443535454571
D1M307,1,11.8739934219047
D1M308,1,11.8998871743679
D1M309,1,11.9687500409782
D1M310,1,11.9836885202676
D1M311,1,12.1041267039254
D1M312,1,12.1133070252836
D1M313,1,12.1333132870495
D1M314,1,12.1999947214499
D1M315,1,12.2421354940161
D1M316,1,12.2894983598962
D1M317,1,12.2938701510429
D1M318,1,12.3203946836293
D1M319,1,12.4326363718137
D1M320,1,12.6058822637424
D1M321,1,12.6641927752644
D1M322,1,12.66506918706
D1M323,1,12.6735604321584
D1M324,1,12.723848791793
D1M325,1,12.7336636232212
D1M326,1,12.7678283024579
D1M327,1,12.7970982016996
D1M328,1,12.8077243175358
D1M329,1,12.8232397232205
D1M330,1,12.8544009989128
D1M331,1,12.9423409095034
D1M332,1,12.9571151034907
D1M333,1,12.9943758901209
D1M334,1,13.0429140245542
D1M335,1,13.0697180097923
D1M336,1,13.0882270121947
D1M337,1,13.117924304679
D1M338,1,13.1378194643185
D1M339,1,13.1844365503639
D1M340,1,13.2003764994442
D1M341,1,13.2110904576257
D1M342,1,13.254831880331
D1M343,1,13.3135026879609
D1M344,1,13.3559107175097
D1M345,1,13.3638814045116
D1M346,1,13.3916236180812
D1M347,1,13.4451531339437
D1M348,1,13.6358076939359
D1M349,1,13.6470833653584
D1M350,1,13.6574939824641
D1M351,1,13.7447003088892
D1M352,1,13.7466957885772
D1M353,1,13.7613092176616
D1M354,1,13.7961325887591
D1M355,1,13.8178426399827
D1M356,1,13.8296588184312
D1M357,1,13.8414668664336
D1M358,1,13.8873004540801
D1M359,1,13.8993583247066
D1M360,1,14.0073382761329
D1M361,1,14.0079408930615
D1M362,1,14.0080085350201
D1M363,1,14.0360444923863
D1M364,1,14.0794120822102
D1M365,1,14.1106662293896
D1M366,1,14.1115640569478
D1M367,1,14.1619506524876
D1M368,1,14.215353098698
D1M369,1,14.2363377800211
D1M370,1,14.2586091673002
D1M371,1,14.2673172522336
D1M372,1,14.2991447634995
D1M373,1,14.3739793589339
D1M374,1,14.3864243896678
D1M375,1,14.3883932149038
D1M376,1,14.391434378922
D1M377,1,14.4304707460105
D1M378,1,14.4443466933444
D1M379,1,14.4580402085558
D1M380,1,14.5025078393519
D1M381,1,14.5698081096634
D1M382,1,14.6001876890659
D1M383,1,14.6923944074661
D1M384,1,14.8023800645024
D1M385,1,14.8030615551397
D1M386,1,14.812992811203
D1M387,1,14.8142400803044
D1M388,1,14.9605016084388
D1M389,1,15.0314683746547
D1M390,1,15.1794854085892
D1M391,1,15.2159593859687
D1M392,1,15.285790655762
D1M393,1,15.3196576517075
D1M394,1,15.3559810481966
D1M395,1,15.4255320271477
D1M396,1,15.4371374845505
D1M397,1,15.4713451210409
D1M398,1,15.5323611851782
D1M399,1,15.5511675355956
D1M400,1,15.7900336710736
D1M401,1,15.8214520616457
D1M402,1,15.8292110217735
D1M403,1,16.0113732889295
D1M404,1,16.0267110401765
D1M405,1,16.0526586463675
D1M406,1,16.0532163782045
D1M407,1,16.05530296918
D1M408,1,16.084964890033
D1M409,1,16.1015687696636
D1M410,1,16.2571990443394
D1M411,1,16.2582757836208
D1M412,1,16.3292916258797
D1M413,1,16.3378536980599
D1M414,1,16.3436225848272
D1M415,1,16.3579345587641
D1M416,1,16.3612522836775
D1M417,1,16.3975438289344
D1M418,1,16.4601346012205
D1M419,1,16.5919779147953
D1M420,1,16.8569734599441
D1M421,1,16.928259995766
D1M422,1,16.990248193033
D1M423,1,17.0477402536198
D1M424,1,17.0744139840826
D1M425,1,17.1089957468212
D1M426,1,17.1273840498179
D1M427,1,17.1296768356115
D1M428,1,17.1349868131801
D1M429,1,17.1678090048954
D1M430,1,17.2331534419209
D1M431,1,17.2345754737034
D1M432,1,17.2582249715924
D1M433,1,17.2978382231668
D1M434,1,17.3201532801613
D1M435,1,17.4350330047309
D1M436,1,17.5235108658671
D1M437,1,17.5293885078281
D1M438,1,17.605536757037
D1M439,1,17.6410058699548
D1M440,1,17.6641404256225
D1M441,1,17.6709727244452
D1M442,1,17.6809015497565
D1M443,1,17.6979182381183
D1M444,1,17.7105189627036
D1M445,1,17.7342964522541
D1M446,1,17.7766808867455
D1M447,1,17.7774976193905
D1M448,1,17.8504385752603
D1M449,1,17.8888704394922
D1M450,1,18.0098837474361
D1M451,1,18.0253523821011
D1M452,1,18.1040234165266
D1M453,1,18.1571627128869
D1M454,1,18.1881307018921
D1M455,1,18.2917622057721
D1M456,1,18.3417335199192
D1M457,1,18.3804741734639
D1M458,1,18.3889922406524
D1M459,1,18.4912947099656
D1M460,1,18.5232799267396
D1M461,1,18.5718119004741
D1M462,1,18.7243976164609
D1M463,1,18.7252863496542
D1M464,1,18.8123148540035
D1M465,1,18.9090249594301
D1M466,1,18.9396179839969
D1M467,1,18.9407430449501
D1M468,1,19.0011943783611
D1M469,1,19.0563279390335
D1M470,1,19.1101321717724
D1M471,1,19.123913613148
D1M472,1,19.196697534062
D1M473,1,19.2249794583768
D1M474,1,19.2582674743608
D1M475,1,19.2670996533707
D1M476,1,19.3156416434795
D1M477,1,19.3184166401625
D1M478,1,19.4957289705053
D1M479,1,19.5467825559899
D1M480,1,19.5851369714364
D1M481,1,19.6252254350111
D1M482,1,19.6252683503553
D1M483,1,19.6381734218448
D1M484,1,19.7541943006217
D1M485,1,19.7744316095486
D1M486,1,19.8255444969982
D1M487,1,19.8520702449605
D1M488,1,19.8649088898674
D1M489,1,19.8806029558182
D1M490,1,19.8969729384407
D1M491,1,19.9423914123327
D1M492,1,19.947107238695
D1M493,1,20.0183905893937
D1M494,1,20.0559429405257
D1M495,1,20.0659746536985
D1M496,1,20.11681902688
D1M497,1,20.1406053593382
D1M498,1,20.1670422591269
D1M499,1,20.1804548129439
D1M500,1,20.266672661528
D1M501,1,20.2847815537825
D1M502,1,20.2885915478691
D1M503,1,20.3242661850527
D1M504,1,20.3602009546012
D1M505,1,20.4232546174899
D1M506,1,20.4313871590421
D1M507,1,20.4536429559812
D1M508,1,20.4573115892708
D1M509,1,20.4690121393651
D1M510,1,20.4928230727091
D1M511,1,20.5183193134144
D1M512,1,20.5229066452011
D1M513,1,20.6055099656805
D1M514,1,20.6614568643272
D1M515,1,20.7484121527523
D1M516,1,20.7616184698418
D1M517,1,20.7638419792056
D1M518,1,20.7848223438486
D1M519,1,20.8008586009964
D1M520,1,20.8618161594495
D1M521,1,20.9823466278613
D1M522,1,21.095559024252
D1M523,1,21.1897101765499
D1M524,1,21.2551705772057
D1M525,1,21.2928858306259
D1M526,1,21.3041845103726
D1M527,1,21.3056489964947
D1M528,1,21.4024604810402
D1M529,1,21.4598115580156
D1M530,1,21.4601594069973
D1M531,1,21.4675769722089
D1M532,1,21.615726063028
D1M533,1,21.650806046091
D1M534,1,21.672214306891
D1M535,1,21.7348970286548
D1M536,1,21.7871810356155
D1M537,1,21.8648693338037
D1M538,1,21.8763450393453
D1M539,1,21.9324692152441
D1M540,1,21.9359645107761
D1M541,1,21.9645899254829
D1M542,1,22.01105278451
D1M543,1,22.1168532734737
D1M544,1,22.1204003691673
D1M545,1,22.1767301950604
D1M546,1,22.2172038489953
D1M547,1,22.2285050433129
D1M548,1,22.2359535796568
D1M549,1,22.2478876076639
D1M550,1,22.2702417243272
D1M551,1,22.2933981567621
D1M552,1,22.3311367118731
D1M553,1,22.3521945253015
D1M554,1,22.4330889852718
D1M555,1,22.5691034272313
D1M556,1,22.631259849295
D1M557,1,22.6706222305074
D1M558,1,22.7257786737755
D1M559,1,22.7647848660126
D1M560,1,22.8067268617451
D1M561,1,22.8178136050701
D1M562,1,22.8855690127239
D1M563,1,22.9725781967863
D1M564,1,23.0084608728066
D1M565,1,23.0455473158509
D1M566,1,23.0668879766017
D1M567,1,23.0838939780369
D1M568,1,23.0990174878389
D1M569,1,23.1059948774055
D1M570,1,23.1146558979526
D1M571,1,23.1416417704895
D1M572,1,23.1583775393665
D1M573,1,23.2479802938178
D1M574,1,23.2482338044792
D1M575,1,23.4343052655458
D1M576,1,23.4976033866405
D1M577,1,23.5119133070111
D1M578,1,23.535217596218
D1M579,1,23.5913522075862
D1M580,1,23.6549760913476
D1M581,1,23.6596176959574
D1M582,1,23.6927822465077
D1M583,1,23.6989374132827
D1M584,1,23.7511159759015
D1M585,1,23.7539800303057
D1M586,1,23.7631044862792
D1M587,1,23.8010709872469
D1M588,1,23.86654375121
D1M589,1,23.8795694382861
D1M590,1,23.884195536375
D1M591,1,23.9007171057165
D1M592,1,23.901187623851
D1M593,1,23.9072422496974
D1M594,1,23.9090063469484
D1M595,1,23.9329870138317
D1M596,1,24.0157030709088
D1M597,1,24.0400236658752
D1M598,1,24.0722114732489
D1M599,1,24.1170614864677
D1M600,1,24.1400408092886
D1M601,1,24.1505590919405
D1M602,1,24.2124358937144
D1M603,1,24.3337360722944
D1M604,1,24.3724995246157
D1M605,1,24.390860251151
D1M606,1,24.4558991258964
D1M607,1,24.4647572049871
D1M608,1,24.5259824814275
D1M609,1,24.5677655143663
D1M610,1,24.633952206932
D1M611,1,24.6585248038173
D1M612,1,24.7914511011913
D1M613,1,24.8406025394797
D1M614,1,24.9259824911132
D1M615,1,24.9369408236817
D1M616,1,24.9530844110996
D1M617,1,24.9958391161636
D1M618,1,24.9961150065064
D1M619,1,25.0241121975705
D1M620,1,25.1038324367255
D1M621,1,25.1135374233127
D1M622,1,25.2563132951036
D1M623,1,25.2670157700777
D1M624,1,25.2916529495269
D1M625,1,25.338923279196
D1M626,1,25.4059786302969
D1M627,1,25.4133156454191
D1M628,1,25.4632228799164
D1M629,1,25.4931092681363
D1M630,1,25.6687347823754
D1M631,1,25.7699855742976
D1M632,1,25.7882960932329
D1M633,1,25.8528496976942
D1M634,1,25.8817105181515
D1M635,1,25.8940378250554
D1M636,1,25.9174965927377
D1M637,1,25.9245300991461
D1M638,1,25.961240446195
D1M639,1,26.0370645672083
D1M640,1,26.0953192133456
D1M641,1,26.2206644145772
D1M642,1,26.3200935255736
D1M643,1,26.3570886477828
D1M644,1,26.3811317179352
D1M645,1,26.4008097862825
D1M646,1,26.4191514020786
D1M647,1,26.4232664974406
D1M648,1,26.4490305818617
D1M649,1,26.5181219391525
D1M650,1,26.5465881396085
D1M651,1,26.61222724244
D1M652,1,26.6975357802585
D1M653,1,26.7459175502881
D1M654,1,26.788031081669
D1M655,1,26.8103599268943
D1M656,1,26.8173034535721
D1M657,1,26.8486079340801
D1M658,1,26.8741834675893
D1M659,1,26.8919856660068
D1M660,1,26.9572526961565
D1M661,1,26.9767012260854
D1M662,1,27.0842645550147
D1M663,1,27.1173970028758
D1M664,1,27.1458668075502
D1M665,1,27.1485530817881
D1M666,1,27.1629016008228
D1M667,1,27.2109216079116
D1M668,1,27.2506350232288
D1M669,1,27.2966097621247
D1M670,1,27.4110737862065
D1M671,1,27.4801617488265
D1M672,1,27.4899865547195
D1M673,1,27.5018654298037
D1M674,1,27.6210436038673
D1M675,1,27.6673658564687
D1M676,1,27.7872276166454
D1M677,1,27.8494162252173
D1M678,1,27.8696900373325
D1M679,1,27.8731830697507
D1M680,1,27.9722200753167
D1M681,1,27.9940376244485
D1M682,1,28.1045256089419
D1M683,1,28.1073781801388
D1M684,1,28.1188320089132
D1M685,1,28.1459799874574
D1M686,1,28.2014504587278
D1M687,1,28.2085438538343
D1M688,1,28.2514320407063
D1M689,1,28.3671255642548
D1M690,1,28.3683749707416
D1M691,1,28.4795594075695
D1M692,1,28.5062475549057
D1M693,1,28.5112722124904
D1M694,1,28.5242280783132
D1M695,1,28.6049774475396
D1M696,1,28.7612680904567
D1M697,1,28.8115747645497
D1M698,1,28.8146050320938
D1M699,1,28.8443603273481
D1M700,1,28.8717929553241
D1M701,1,28.9430335583165
D1M702,1,28.9786225324497
D1M703,1,29.0028383536264
D1M704,1,29.0108032571152
D1M705,1,29.0198576822877
D1M706,1,29.045496750623
D1M707,1,29.0588968992233
D1M708,1,29.0873026661575
D1M709,1,29.1796347359195
D1M710,1,29.2247302550822
D1M711,1,29.26832344383
D1M712,1,29.2690149927512
D1M713,1,29.2806540196761
D1M714,1,29.337944118306
D1M715,1,29.342459407635
D1M716,1,29.3553861044347
D1M717,1,29.3773728422821
D1M718,1,29.383400939405
D1M719,1,29.3842219049111
D1M720,1,29.3899847147986
D1M721,1,29.3976816907525
D1M722,1,29.4628154905513
D1M723,1,29.5310096489266
D1M724,1,29.5381776429713
D1M725,1,29.5642227306962
D1M726,1,29.5787833957002
D1M727,1,29.5863448362797
D1M728,1,29.6357066184282
D1M729,1,29.6522351866588
D1M730,1,29.6804063441232
D1M731,1,29.7049749596044
D1M732,1,29.709453494288
D1M733,1,29.70989999827
D1M734,1,29.7747220331803
D1M735,1,29.7817079722881
D1M736,1,29.7843958809972
D1M737,1,29.813989950344
D1M738,1,29.858177290298
D1M739,1,29.8878621356562
D1M740,1,30.0081900134683
D1M741,1,30.016143056564
D1M742,1,30.0984667567536
D1M743,1,30.1809815643355
D1M744,1,30.1887464337051
D1M745,1,30.2436479413882
D1M746,1,30.2873277151957
D1M747,1,30.2893914654851
D1M748,1,30.345094576478
D1M749,1,30.3659430937842
D1M750,1,30.4009884176776
D1M751,1,30.4045993834734
D1M752,1,30.4085521632805
D1M753,1,30.4095286969095
D1M754,1,30.475964625366
D1M755,1,30.5238180002198
D1M756,1,30.6142349727452
D1M757,1,30.6158903986216
D1M758,1,30.6175840878859
D1M759,1,30.6405945913866
D1M760,1,30.6629649689421
D1M761,1,30.7225767709315
D1M762,1,30.8062379714102
D1M763,1,30.8593705622479
D1M764,1,30.924014816992
D1M765,1,31.034805891104
D1M766,1,31.0515301348642
D1M767,1,31.087605971843
D1M768,1,31.2029881076887
D1M769,1,31.2213686155155
D1M770,1,31.2574596237391
D1M771,1,31.2877642689273
D1M772,1,31.3196599250659
D1M773,1,31.323157818988
D1M774,1,31.3423431990668
D1M775,1,31.3882279163226
D1M776,1,31.4391022128984
D1M777,1,31.5033277915791
D1M778,1,31.5287372795865
D1M779,1,31.6444656299427
D1M780,1,31.7028058553115
D1M781,1,31.7431284673512
D1M782,1,31.7613665666431
D1M783,1,31.7806407948956
D1M784,1,31.860017334111
D1M785,1,31.8727305019274
D1M786,1,31.8812345713377
D1M787,1,31.8950164318085
D1M788,1,31.9112178543583
D1M789,1,31.9322813674808
D1M790,1,31.9361059879884
D1M791,1,31.9375125551596
D1M792,1,31.967710792087
D1M793,1,31.9791153771803
D1M794,1,32.0230946363881
D1M795,1,32.0309429476038
D1M796,1,32.0682971924543
D1M797,1,32.0814798725769
D1M798,1,32.1968549676239
D1M799,1,32.2903426084667
D1M800,1,32.4240589421242
D1M801,1,32.4347822880372
D1M802,1,32.5626962492242
D1M803,1,32.6102989213541
D1M804,1,32.6107573276386
D1M805,1,32.6217281073332
D1M806,1,32.7256883075461
D1M807,1,32.7361849648878
D1M808,1,32.7509489748627
D1M809,1,32.8114238614216
D1M810,1,32.8613414056599
D1M811,1,32.8787851938978
D1M812,1,32.9398986976594
D1M813,1,33.2105778856203
D1M814,1,33.3042295183986
D1M815,1,33.3125936100259
D1M816,1,33.3890863554552
D1M817,1,33.4721817355603
D1M818,1,33.4723652154207
D1M819,1,33.5401323158294
D1M820,1,33.5923325875774
D1M821,1,33.7367467861623
D1M822,1,33.784082327038
D1M823,1,33.7983228871599
D1M824,1,33.8079899456352
D1M825,1,33.8232844043523
D1M826,1,33.8241269113496
D1M827,1,33.8613998517394
D1M828,1,33.8693937985227
D1M829,1,34.0010195598006
D1M830,1,34.0646451618522
D1M831,1,34.088168470189
D1M832,1,34.1603851877153
D1M833,1,34.2401322070509
D1M834,1,34.3241159431636
D1M835,1,34.3344654142857
D1M836,1,34.4175996864215
D1M837,1,34.4253404159099
D1M838,1,34.4267020979896
D1M839,1,34.4799398817122
D1M840,1,34.5488025806844
D1M841,1,34.5858879759908
D1M842,1,34.5977163081989
D1M843,1,34.6135853463784
D1M844,1,34.7479228628799
D1M845,1,34.7957752319053
D1M846,1,34.8811328876764
D1M847,1,34.9398966087028
D1M848,1,35.0084433937445
D1M849,1,35.2296097576618
D1M850,1,35.2812333963811
D1M851,1,35.3342104610056
D1M852,1,35.3480386734009
D1M853,1,35.3789500426501
D1M854,1,35.4066277574748
D1M855,1,35.4864084301516
D1M856,1,35.5171203939244
D1M857,1,35.5182218598202
D1M858,1,35.6743513606489
D1M859,1,35.7200059527531
D1M860,1,35.7370180310681
D1M861,1,35.7971051288769
D1M862,1,35.8995929220691
D1M863,1,35.9134539496154
D1M864,1,35.9172232914716
D1M865,1,35.946073802188
D1M866,1,35.9569272771478
D1M867,1,35.978198829107
D1M868,1,36.1848162207752
D1M869,1,36.2128643319011
D1M870,1,36.2199618760496
D1M871,1,36.3544033281505
D1M872,1,36.3569431286305
D1M873,1,36.3769641425461
D1M874,1,36.4005915541202
D1M875,1,36.414563767612
D1M876,1,36.52423418127
D1M877,1,36.618277458474
D1M878,1,36.6680054459721
D1M879,1,36.7039536684752
D1M880,1,36.7256243666634
D1M881,1,36.7284283228219
D1M882,1,36.7707806546241
D1M883,1,36.7959083849564
D1M884,1,36.9205623306334
D1M885,1,36.9415677571669
D1M886,1,36.9910959200934
D1M887,1,37.1013412065804
D1M888,1,37.1062090387568
D1M889,1,37.2205470409244
D1M890,1,37.2598544787616
D1M891,1,37.2843887284398
D1M892,1,37.2967451205477
D1M893,1,37.3327820654958
D1M894,1,37.3839191766456
D1M895,1,37.4063174659386
D1M896,1,37.4470224184915
D1M897,1,37.4827396776527
D1M898,1,37.5227911770344
D1M899,1,37.5541155645624
D1M900,1,37.6781087229028
D1M901,1,37.7096311748028
D1M902,1,37.7769680740312
D1M903,1,37.9666351201013
D1M904,1,38.1260401848704
D1M905,1,38.1795110693201
D1M906,1,38.2761622499675
D1M907,1,38.3294929470867
D1M908,1,38.3400639519095
D1M909,1,38.3919066935778
D1M910,1,38.4197386354208
D1M911,1,38.6175463115796
D1M912,1,38.6679887305945
D1M913,1,38.6689536133781
D1M914,1,38.6801330605522
D1M915,1,38.7312322854996
D1M916,1,38.8517213473096
D1M917,1,38.8766684057191
D1M918,1,39.2080414574593
D1M919,1,39.2178844520822
D1M920,1,39.2293445253745
D1M921,1,39.2429296625778
D1M922,1,39.2471763119102
D1M923,1,39.2528318334371
D1M924,1,39.2540703015402
D1M925,1,39.356151279062
D1M926,1,39.4212768226862
D1M927,1,39.4869380956516
D1M928,1,39.5388486050069
D1M929,1,39.5663474500179
D1M930,1,39.5949003612623
D1M931,1,39.6043926151469
D1M932,1,39.6113874390721
D1M933,1,39.6549776522443
D1M934,1,39.6890962729231
D1M935,1,39.7387597197667
D1M936,1,39.7864217776805
